sourcefiles/js/at.js: line 64, col 14, 'x' is already defined.
sourcefiles/js/at.js: line 66, col 13, 'sx' is already defined.
sourcefiles/js/at.js: line 180, col 13, '_datea' is already defined.
sourcefiles/js/at.js: line 181, col 13, '_da' is already defined.
sourcefiles/js/at.js: line 301, col 12, ['Save'] is better written in dot notation.
sourcefiles/js/at.js: line 302, col 12, ['Cancel'] is better written in dot notation.
sourcefiles/js/at.js: line 397, col 23, ['tags'] is better written in dot notation.
sourcefiles/js/at.js: line 434, col 27, ['services'] is better written in dot notation.
sourcefiles/js/at.js: line 583, col 9, '_b' is already defined.
sourcefiles/js/at.js: line 1096, col 21, '_h' is already defined.
sourcefiles/js/at.js: line 1097, col 21, '_m' is already defined.

sourcefiles/js/bqe.js: line 181, col 37, ['satellites'] is better written in dot notation.
sourcefiles/js/bqe.js: line 183, col 43, ['service'] is better written in dot notation.
sourcefiles/js/bqe.js: line 184, col 43, ['name'] is better written in dot notation.
sourcefiles/js/bqe.js: line 210, col 37, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 212, col 43, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 213, col 43, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 238, col 53, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 239, col 56, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 249, col 35, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 250, col 35, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 251, col 35, ['provider'] is better written in dot notation.
sourcefiles/js/bqe.js: line 278, col 37, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 280, col 54, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 280, col 81, ['startpos'] is better written in dot notation.
sourcefiles/js/bqe.js: line 281, col 43, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 282, col 43, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 306, col 53, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 307, col 56, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 328, col 37, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 330, col 43, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 331, col 41, ['ismarker'] is better written in dot notation.
sourcefiles/js/bqe.js: line 332, col 41, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 333, col 49, ['pos'] is better written in dot notation.
sourcefiles/js/bqe.js: line 334, col 35, ['ismarker'] is better written in dot notation.
sourcefiles/js/bqe.js: line 341, col 54, ['ismarker'] is better written in dot notation.
sourcefiles/js/bqe.js: line 654, col 35, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 657, col 45, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 658, col 49, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 659, col 41, ['provider'] is better written in dot notation.

sourcefiles/js/epgr.js: line 84, col 39, ['services'] is better written in dot notation.

sourcefiles/js/openwebif.js: line 659, col 44, ['disabled'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 748, col 16, You might be leaking a variable (current_ref) here.
sourcefiles/js/openwebif.js: line 748, col 40, ['currservice_serviceref'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 749, col 19, You might be leaking a variable (current_name) here.
sourcefiles/js/openwebif.js: line 749, col 44, ['currservice_station'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 757, col 44, ['currservice_begin'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 757, col 86, ['currservice_end'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 758, col 30, ['currservice_fulldescription'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 762, col 27, ['transcoding'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 769, col 241, ['currservice_name'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 773, col 244, ['currservice_name'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 775, col 32, ['currservice_filename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 776, col 27, ['transcoding'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 783, col 59, ['currservice_name'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 785, col 50, ['currservice_name'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 787, col 41, ['currservice_description'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 803, col 48, ['volume'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 804, col 36, ['volume'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 809, col 23, ['muted'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 821, col 23, ['inStandby'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 827, col 23, ['isRecording'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 828, col 138, ['Recording_list'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 834, col 23, ['inStandby'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 879, col 50, ['message'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 906, col 50, ['message'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 1062, col 18, 'id' is already defined.
sourcefiles/js/openwebif.js: line 1781, col 29, ['sref'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 1783, col 47, ['begin'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 1784, col 47, ['end'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2040, col 22, ['servicereference'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2041, col 23, ['servicename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2042, col 77, ['servicename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2043, col 24, ['subservices'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2046, col 26, ['servicereference'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2050, col 69, ['servicename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2052, col 69, ['servicename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2054, col 89, ['servicename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2092, col 25, ['services'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2104, col 27, ['services'] is better written in dot notation.

80 errors
